Time,Process_Count
2022-1-20 23:00:00.000,4116
2022-1-20 22:00:00.000,3826
2022-1-20 18:00:00.000,4257
2022-1-20 19:00:00.000,3528
2022-1-20 21:00:00.000,3725
2022-1-20 20:00:00.000,4152
2022-1-20 17:00:00.000,4263
2022-1-20 15:00:00.000,4049
2022-1-20 14:00:00.000,4700
2022-1-20 16:00:00.000,3955
2022-1-20 13:00:00.000,4209
2022-1-20 12:00:00.000,4588
2022-1-20 09:00:00.000,3647
2022-1-20 10:00:00.000,4347
2022-1-20 11:00:00.000,4887
2022-1-20 08:00:00.000,4093
2022-1-20 03:00:00.000,3926
2022-1-20 04:00:00.000,4104
2022-1-20 05:00:00.000,4102
2022-1-20 06:00:00.000,4448
2022-1-20 02:00:00.000,4952
2022-1-20 07:00:00.000,4559
2022-1-19 19:00:00.000,3518
2022-1-20 01:00:00.000,3745
2022-1-19 22:00:00.000,3624
2022-1-19 23:00:00.000,4040
2022-1-20 00:00:00.000,4072
2022-1-19 21:00:00.000,3659
2022-1-19 20:00:00.000,4271
2022-1-19 18:00:00.000,4421
2022-1-19 17:00:00.000,4245
2022-1-19 16:00:00.000,4041
2022-1-19 15:00:00.000,4013
2022-1-19 14:00:00.000,4450
2022-1-19 13:00:00.000,3714
2022-1-19 11:00:00.000,4429
2022-1-19 10:00:00.000,4221
2022-1-19 12:00:00.000,4886
2022-1-19 09:00:00.000,4448
2022-1-19 08:00:00.000,5051
2022-1-19 07:00:00.000,4325
2022-1-19 06:00:00.000,3932
2022-1-18 19:00:00.000,3709
2022-1-19 00:00:00.000,4148
2022-1-19 05:00:00.000,4099
2022-1-19 04:00:00.000,4419
2022-1-18 22:00:00.000,3970
2022-1-18 23:00:00.000,4325
2022-1-19 02:00:00.000,4511
2022-1-19 01:00:00.000,4057
2022-1-19 03:00:00.000,3902
2022-1-30 04:00:00.000,4014
2022-1-30 07:00:00.000,4015
2022-1-30 08:00:00.000,4224
2022-1-30 06:00:00.000,3851
2022-1-30 03:00:00.000,3550
2022-1-30 05:00:00.000,3548
2022-1-29 19:00:00.000,3649
2022-1-30 01:00:00.000,3619
2022-1-30 02:00:00.000,4115
2022-1-30 00:00:00.000,3802
2022-1-29 23:00:00.000,3459
2022-1-29 21:00:00.000,3542
2022-1-29 22:00:00.000,3650
2022-1-29 20:00:00.000,4133
2022-1-29 16:00:00.000,3888
2022-1-29 17:00:00.000,3502
2022-1-29 18:00:00.000,4059
2022-1-29 15:00:00.000,3737
2022-1-29 10:00:00.000,3917
2022-1-29 11:00:00.000,4006
2022-1-29 14:00:00.000,4157
2022-1-29 13:00:00.000,3719
2022-1-29 12:00:00.000,4263
2022-1-29 09:00:00.000,3741
2022-1-29 08:00:00.000,3959
2022-1-29 06:00:00.000,3643
2022-1-29 07:00:00.000,4011
2022-1-29 05:00:00.000,3365
2022-1-29 04:00:00.000,3785
2022-1-28 19:00:00.000,3380
2022-1-29 02:00:00.000,4191
2022-1-29 03:00:00.000,3749
2022-1-29 01:00:00.000,3715
2022-1-29 00:00:00.000,4129
2022-1-28 22:00:00.000,3797
2022-1-28 23:00:00.000,3606
2022-1-28 21:00:00.000,3697
2022-1-28 20:00:00.000,3718
2022-1-28 16:00:00.000,4066
2022-1-28 14:00:00.000,4140
2022-1-28 15:00:00.000,3651
2022-1-28 13:00:00.000,3678
2022-1-28 18:00:00.000,4045
2022-1-28 12:00:00.000,4181
2022-1-28 17:00:00.000,3707
2022-1-28 09:00:00.000,3728
2022-1-28 10:00:00.000,4103
2022-1-28 11:00:00.000,3897
2022-1-26 11:00:00.000,3715
2022-1-26 13:00:00.000,3829
2022-1-26 10:00:00.000,4131
2022-1-26 12:00:00.000,4191
2022-1-26 08:00:00.000,4028
2022-1-26 07:00:00.000,4043
2022-1-26 05:00:00.000,3429
2022-1-26 06:00:00.000,3789
2022-1-26 04:00:00.000,4043
2022-1-26 09:00:00.000,3577
2022-1-26 03:00:00.000,3774
2022-1-26 02:00:00.000,4109
2022-1-25 23:00:00.000,3557
2022-1-26 00:00:00.000,3738
2022-1-25 21:00:00.000,3624
2022-1-25 22:00:00.000,3923
2022-1-26 01:00:00.000,3669
2022-1-25 20:00:00.000,3733
2022-1-25 19:00:00.000,3469
2022-1-25 18:00:00.000,4196
2022-1-25 17:00:00.000,3800
2022-1-25 16:00:00.000,3863
2022-1-25 15:00:00.000,3754
2022-1-25 14:00:00.000,3907
2022-1-25 13:00:00.000,3803
2022-1-25 12:00:00.000,4258
2022-1-25 11:00:00.000,4451
2022-1-25 06:00:00.000,4003
2022-1-25 04:00:00.000,3794
2022-1-25 03:00:00.000,3783
2022-1-25 07:00:00.000,5398
2022-1-25 09:00:00.000,3665
2022-1-25 10:00:00.000,3881
2022-1-25 05:00:00.000,4248
2022-1-25 02:00:00.000,4370
2022-1-25 08:00:00.000,4845
2022-1-25 01:00:00.000,3823
2022-1-24 19:00:00.000,3544
2022-1-25 00:00:00.000,3971
2022-1-24 22:00:00.000,3866
2022-1-24 23:00:00.000,4250
2022-1-24 21:00:00.000,3703
2022-1-24 20:00:00.000,4397
2022-1-24 18:00:00.000,4107
2022-1-24 15:00:00.000,4021
2022-1-24 17:00:00.000,4162
2022-1-24 16:00:00.000,4024
2022-1-24 14:00:00.000,4586
2022-1-22 15:00:00.000,3720
2022-1-22 14:00:00.000,4654
2022-1-22 12:00:00.000,4568
2022-1-22 13:00:00.000,3808
2022-1-22 11:00:00.000,4668
2022-1-22 09:00:00.000,3679
2022-1-22 10:00:00.000,4036
2022-1-22 08:00:00.000,4030
2022-1-22 07:00:00.000,4183
2022-1-22 06:00:00.000,3859
2022-1-22 05:00:00.000,4025
2022-1-22 04:00:00.000,4090
2022-1-21 19:00:00.000,3518
2022-1-22 03:00:00.000,4016
2022-1-22 02:00:00.000,5065
2022-1-22 00:00:00.000,4189
2022-1-22 01:00:00.000,3739
2022-1-21 23:00:00.000,3855
2022-1-21 22:00:00.000,3969
2022-1-21 20:00:00.000,4132
2022-1-21 21:00:00.000,3852
2022-1-21 17:00:00.000,4671
2022-1-21 16:00:00.000,3983
2022-1-21 18:00:00.000,4545
2022-1-21 15:00:00.000,4624
2022-1-21 13:00:00.000,3815
2022-1-21 14:00:00.000,4935
2022-1-21 12:00:00.000,4505
2022-1-21 10:00:00.000,4196
2022-1-21 11:00:00.000,4602
2022-1-21 09:00:00.000,4008
2022-1-21 07:00:00.000,4045
2022-1-21 08:00:00.000,5113
2022-1-21 06:00:00.000,4108
2022-1-21 02:00:00.000,4657
2022-1-21 00:00:00.000,4221
2022-1-21 01:00:00.000,3573
2022-1-21 03:00:00.000,4060
2022-1-21 05:00:00.000,3873
2022-1-21 04:00:00.000,3942
2022-2-6 15:00:00.000,3394
2022-2-6 12:00:00.000,3956
2022-2-6 13:00:00.000,3563
2022-2-6 10:00:00.000,4298
2022-2-6 14:00:00.000,3808
2022-2-6 09:00:00.000,3462
2022-2-6 11:00:00.000,3532
2022-2-6 08:00:00.000,3751
2022-2-6 07:00:00.000,3569
2022-2-6 06:00:00.000,3418
2022-2-6 04:00:00.000,4066
2022-2-6 05:00:00.000,3412
2022-2-5 19:00:00.000,3430
2022-2-6 03:00:00.000,3306
2022-2-6 02:00:00.000,3796
2022-2-6 01:00:00.000,3259
2022-2-5 23:00:00.000,3405
2022-2-5 22:00:00.000,3592
2022-2-6 00:00:00.000,3647
2022-2-5 21:00:00.000,3408
2022-2-5 16:00:00.000,3847
2022-2-5 20:00:00.000,3442
2022-2-5 18:00:00.000,3963
2022-2-5 17:00:00.000,3421
2022-2-5 15:00:00.000,3518
2022-2-5 14:00:00.000,3546
2022-2-5 13:00:00.000,3527
2022-2-5 12:00:00.000,3850
2022-2-5 10:00:00.000,4074
2022-2-5 11:00:00.000,3456
2022-2-5 09:00:00.000,3547
2022-2-5 08:00:00.000,3807
2022-2-5 05:00:00.000,3367
2022-2-5 06:00:00.000,3594
2022-2-5 07:00:00.000,3877
2022-2-5 03:00:00.000,3393
2022-2-5 04:00:00.000,3992
2022-2-4 19:00:00.000,3433
2022-2-5 01:00:00.000,3329
2022-2-5 00:00:00.000,3394
2022-2-5 02:00:00.000,3874
2022-1-17 02:00:00.000,4806
2022-1-17 01:00:00.000,3631
2022-1-17 03:00:00.000,3777
2022-1-17 00:00:00.000,4042
2022-2-1 02:00:00.000,4294
2022-2-1 01:00:00.000,3757
2022-2-1 00:00:00.000,3932
2022-1-31 23:00:00.000,3601
2022-1-31 22:00:00.000,3698
