"Count_Tot","Count_Fail"
213,1
290,10
346,11
373,32
378,16
421,1
446,27
504,21
613,39
632,43
728,60
746,68
779,63
898,10
916,61
960,22
987,67
996,62
1027,7
1056,18
1068,48
1101,74
1137,115
1165,68
1177,84
1266,89
1332,124
1395,100
1446,114
1457,196
1462,113
1521,77
1535,85
1538,54
1559,112
1573,83
1578,73
1625,171
1638,96
1679,170
1744,196
1804,131
1825,167
1904,159
1918,174
1919,125
1941,166
2001,149
2009,177
2102,72
2106,226
2120,239
2152,189
2159,181
2186,143
2207,215
2209,261
2232,265
2262,149
2290,136
2306,80
2307,149
2395,68
2453,237
2476,98
2484,193
2497,270
2543,216
2545,268
2587,184
2588,289
2592,317
2624,257
2627,330
2658,185
2661,245
2674,246
2718,231
2724,307
2779,199
2785,158
2787,176
2791,204
2818,326
2865,180
2922,223
2976,272
3081,267
3093,228
3199,301
3209,172
