"Time","ResultDescription"
2022-3-19 18:00:00.0000,"The signed in user is not assigned to a role for the signed in application. Assign the user to the application. For more information: https://docs.microsoft.com/en-us/azure/active-directory/application-sign-in-problem-federated-sso-gallery#user-not-assigned-a-role."
2022-3-19 19:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 18:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-19 21:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 12:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 01:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 02:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 13:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 14:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 14:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 14:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 21:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 23:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 23:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 23:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 23:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 23:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 15:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-20 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 18:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 18:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-20 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 18:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-20 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 17:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 01:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 01:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 19:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 01:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 01:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 02:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 20:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 21:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 18:00:00.0000,"This error occurred due to 'Keep me signed in' interrupt when the user was signing-in."
2022-3-19 18:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 22:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 22:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 19:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 22:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 21:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 23:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 23:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-19 23:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 00:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 01:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 01:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 01:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 01:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 01:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 03:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 03:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 03:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 03:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 05:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 06:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 08:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 06:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 11:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 10:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 11:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 12:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 11:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 14:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 14:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 14:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 13:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 17:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 17:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 06:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 18:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 19:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 07:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 20:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 21:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 08:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 09:00:00.0000,"User did not pass the MFA challenge (non interactive)."
2022-3-20 15:00:00.0000,"User did not pass the MFA challenge (non interactive)."
